1,android/support/v4/content
2,android/support/v4/internal/view android/support/v4/media
3,android/support/v4/os
4,android/support/v4/app android/support/v4/util
5,android/support/v4/view android/support/v4/widget
6,com/actionbarsherlock
7,com/coinbase/android com/coinbase/api
8,com/google/zxing
9,com/justinschultz/examples com/justinschultz/pusherclient
10,com/justinschultz/websocket
11,com/nineoldandroids/animation com/nineoldandroids/view
12,com/nineoldandroids/util
13,fr/castorflex/android/smoothprogressbar
14,org/acra
15,uk/co/senab/actionbarpulltorefresh/extras/actionbarsherlock uk/co/senab/actionbarpulltorefresh/library
16,android/support/v4/accessibilityservice
17,android/support/v4/database
18,android/support/v4/graphics/drawable
19,android/support/v4/hardware/display
20,android/support/v4/net
21,android/support/v4/print
22,android/support/v4/text
23,org/apache/commons/codec
24,org/apache/commons/logging
