1,android/support/v4/app android/support/v4/content android/support/v4/internal/view android/support/v4/media android/support/v4/os android/support/v4/util android/support/v4/view android/support/v4/widget
2,com/actionbarsherlock com/coinbase/android com/coinbase/api com/google/zxing org/acra
3,com/justinschultz/examples com/justinschultz/pusherclient com/justinschultz/websocket
4,com/nineoldandroids/animation com/nineoldandroids/util com/nineoldandroids/view
5,fr/castorflex/android/smoothprogressbar uk/co/senab/actionbarpulltorefresh/extras/actionbarsherlock uk/co/senab/actionbarpulltorefresh/library
6,android/support/v4/accessibilityservice
7,android/support/v4/database
8,android/support/v4/graphics/drawable
9,android/support/v4/hardware/display
10,android/support/v4/net
11,android/support/v4/print
12,android/support/v4/text
13,org/apache/commons/codec
14,org/apache/commons/logging
