1,android/support/v4/content
2,android/support/v4/graphics/drawable
3,android/support/v4/internal/view android/support/v4/media
4,android/support/v4/os
5,android/support/v4/app android/support/v4/util
6,android/support/v4/view android/support/v4/widget
7,com/jefftharris/passwdsafe
8,org/bouncycastle
9,org/pwsafe/lib org/pwsafe/util
10,android/annotation
11,android/support/v4/accessibilityservice
12,android/support/v4/database
13,android/support/v4/hardware/display
14,android/support/v4/net
15,android/support/v4/print
16,android/support/v4/text
