1,android/support/v4/app android/support/v4/content android/support/v4/internal/view android/support/v4/media android/support/v4/os android/support/v4/util android/support/v4/view android/support/v4/widget
2,com/actionbarsherlock com/commonsware/cwac/wakeful
3,org/adaway org/sufficientlysecure/donations org/sufficientlysecure/htmltextview org/sufficientlysecure/rootcommands
4,android/support/v4/accessibilityservice
5,android/support/v4/database
6,android/support/v4/graphics/drawable
7,android/support/v4/hardware/display
8,android/support/v4/net
9,android/support/v4/text
10,com/android/vending/billing
