1,android/support/v13/app android/support/v4/app android/support/v4/content android/support/v4/internal/view android/support/v4/media android/support/v4/os android/support/v4/util android/support/v4/view android/support/v4/widget me/imid/swipebacklayout/lib
2,com/nostra13/universalimageloader/cache/disc com/nostra13/universalimageloader/cache/memory com/nostra13/universalimageloader/core com/nostra13/universalimageloader/utils
3,com/etsy/android/grid com/google/android/apps/dashclock/api com/jeremyfeinstein/slidingmenu/lib com/mobeta/android/dslv com/negusoft/holoaccent com/readystatesoftware/viewbadger com/scvngr/levelup/views/gallery com/twitter
4,de/keyboardsurfer/android/widget/crouton edu/ucdavis/earlybird fr/castorflex/android/smoothprogressbar org/mariotaku/gallery3d org/mariotaku/jsonserializer org/mariotaku/menucomponent org/mariotaku/querybuilder org/mariotaku/refreshnow org/mariotaku/twidere twitter4j
5,it/sephiroth/android/library/imagezoom microsoft/mappoint org/acra org/apache/commons/lang3 org/apache/http/entity/mime org/metalev/multitouch/controller org/osmdroid org/slf4j
6,android/support/v4/accessibilityservice
7,android/support/v4/database
8,android/support/v4/graphics/drawable
9,android/support/v4/hardware/display
10,android/support/v4/net
11,android/support/v4/text
12,org/mariotaku/harmony/view
13,org/xbill/DNS
