1,android/support/v4/app android/support/v4/content android/support/v4/os android/support/v4/util android/support/v4/view android/support/v4/widget
2,com/android/internalcopy/http/multipart com/j256/ormlite/android com/j256/ormlite/dao com/j256/ormlite/db com/j256/ormlite/field com/j256/ormlite/logger com/j256/ormlite/misc com/j256/ormlite/stmt com/j256/ormlite/support com/j256/ormlite/table
3,com/actionbarsherlock com/nostra13/universalimageloader/cache/disc com/nostra13/universalimageloader/cache/memory com/nostra13/universalimageloader/core com/nostra13/universalimageloader/utils
4,de/keyboardsurfer/android/widget/crouton de/timroes/axmlrpc de/timroes/base64
5,org/androidannotations/api org/apache/openjpa/lib/util org/base64/android org/transdroid/core org/transdroid/daemon
6,uk/co/senab/actionbarpulltorefresh/extras/actionbarsherlock uk/co/senab/actionbarpulltorefresh/library
7,android/support/v4/accessibilityservice
8,android/support/v4/database
9,android/support/v4/net
10,de/keyboardsurfer/mobile/app/android/widget/crouton
11,net/margaritov/preference/colorpicker
12,org/androidannotations/annotations
13,org/transdroid/full
