1,android/support/v4/content android/support/v4/internal/view
2,android/support/v4/graphics/drawable
3,android/support/v4/media
4,android/support/v4/os
5,android/support/v4/app android/support/v4/util
6,android/support/v4/view android/support/v4/widget
7,com/google/gson
8,it/andreascarpino/forvodroid it/andreascarpino/util
9,org/apache/commons/codec
10,ru/o2genum/forvo
11,android/support/v4/accessibilityservice
12,android/support/v4/database
13,android/support/v4/hardware/display
14,android/support/v4/net
15,android/support/v4/print
16,android/support/v4/text
