1,android/support/v4/app android/support/v4/content android/support/v4/internal/view android/support/v4/media android/support/v4/os android/support/v4/util android/support/v4/view android/support/v4/widget com/slidingmenu/lib
2,android/support/v7/app android/support/v7/internal/view android/support/v7/internal/widget android/support/v7/view android/support/v7/widget
3,org/videolan/android/ui org/videolan/libvlc org/videolan/vlc
4,android/support/annotation
5,android/support/v4/accessibilityservice
6,android/support/v4/database
7,android/support/v4/graphics/drawable
8,android/support/v4/hardware/display
9,android/support/v4/net
10,android/support/v4/print
11,android/support/v4/text
12,kankan/wheel
