1,android/support/v4/media android/support/v4/view android/support/v4/widget
2,android/support/v4/app android/support/v4/content android/support/v4/util org/sufficientlysecure/donations
3,com/actionbarsherlock org/adaway org/sufficientlysecure/rootcommands
4,com/commonsware/cwac/wakeful
5,org/sufficientlysecure/htmltextview
6,android/support/v4/text
7,com/android/vending/billing
8,android/support/v4/net
9,android/support/v4/hardware/display
10,android/support/v4/graphics/drawable
11,android/support/v4/database
12,android/support/v4/accessibilityservice
13,android/support/v4/os
14,android/support/v4/internal/view
