1,org/pwsafe/lib org/pwsafe/util
2,android/support/v4/app
3,android/support/v4/util
4,android/support/v4/content
5,android/support/v4/view android/support/v4/widget
6,android/support/v4/media
7,com/jefftharris/passwdsafe
8,android/support/v4/graphics/drawable
9,android/support/v4/os
10,android/support/v4/print
11,android/support/v4/text
12,android/support/v4/net
13,android/support/v4/hardware/display
14,android/support/v4/database
15,android/support/v4/accessibilityservice
16,android/annotation
17,android/support/v4/internal/view
18,org/bouncycastle
