1,com/michaldabski/filemanager com/michaldabski/utils com/readystatesoftware/systembartint
2,com/michaldabski/msqlite
3,android/support/v4/app android/support/v4/content android/support/v4/util
4,android/support/v4/view android/support/v4/widget
5,android/support/v4/media
6,android/support/v4/graphics/drawable
7,android/support/v4/print
8,android/support/v4/text
9,android/support/v4/net
10,android/support/v4/hardware/display
11,android/support/v4/database
12,android/support/v4/accessibilityservice
13,android/support/v4/os
14,android/support/v4/internal/view
