1, android/annotation
2, android/support/v13/app android/support/v4/app android/support/v4/util de/greenrobot/event com/vmihalachi/turboeditor android/support/v4/content android/support/v4/view android/support/v4/widget android/support/v4/internal/view org/apache/commons/io
3, android/support/v4/accessibilityservice
4, android/support/v4/database
5, android/support/v4/graphics/drawable
6, android/support/v4/hardware/display
7, android/support/v4/media
8, android/support/v4/net
9, android/support/v4/os
10, android/support/v4/text
11, android/test junit/extensions junit/framework junit/swingui junit/runner junit/textui junit/awtui
12, it/gmariotti/changelibs
