1,android/support/v4/view android/support/v4/widget
2,android/support/v4/media
3,android/support/v4/app
4,android/support/v4/util
5,it/andreascarpino/forvodroid
6,ru/o2genum/forvo
7,android/support/v4/content
8,it/andreascarpino/util
9,com/google/gson
10,org/apache/commons/codec
11,android/support/v4/graphics/drawable
12,android/support/v4/print
13,android/support/v4/text
14,android/support/v4/net
15,android/support/v4/hardware/display
16,android/support/v4/database
17,android/support/v4/accessibilityservice
18,android/support/v4/os
19,android/support/v4/internal/view
