1, android/support/v4/accessibilityservice
2, android/support/v4/app android/support/v4/util android/support/v4/content android/support/v4/view android/support/v4/widget com/google/android/apps/dashclock/api net/imatruck/betterweather com/getpebble/android/kit android/support/v4/internal/view
3, android/support/v4/database
4, android/support/v4/graphics/drawable
5, android/support/v4/hardware/display
6, android/support/v4/media
7, android/support/v4/net
8, android/support/v4/os
9, android/support/v4/print
10, android/support/v4/text
11, com/google/common/annotations
12, com/google/common/base com/google/common/collect com/google/common/util/concurrent com/google/common/cache com/google/common/reflect com/google/common/io com/google/common/primitives com/google/common/net com/google/common/hash com/google/common/eventbus com/google/common/math com/google/common/escape com/google/common/xml com/google/thirdparty/publicsuffix com/google/common/html
