1,com/google/common/escape com/google/common/html com/google/common/xml
2,com/google/common/base com/google/common/cache com/google/common/collect com/google/common/eventbus com/google/common/hash com/google/common/io com/google/common/math com/google/common/net com/google/common/primitives com/google/common/reflect com/google/common/util/concurrent com/google/thirdparty/publicsuffix
3,com/google/android/apps/dashclock/api
4,net/imatruck/betterweather
5,com/getpebble/android/kit
6,android/support/v4/app android/support/v4/content android/support/v4/media android/support/v4/util android/support/v4/view android/support/v4/widget
7,android/support/v4/graphics/drawable
8,android/support/v4/text
9,com/google/common/annotations
10,android/support/v4/print
11,android/support/v4/net
12,android/support/v4/hardware/display
13,android/support/v4/database
14,android/support/v4/accessibilityservice
15,android/support/v4/os
16,android/support/v4/internal/view
