1,microsoft/mappoint org/osmdroid
2,org/slf4j
3,net/wigle/wigleandroid
4,android/support/v7/app android/support/v7/internal/view android/support/v7/internal/widget android/support/v7/view
5,android/support/v4/app android/support/v4/content android/support/v4/util
6,android/support/v7/widget
7,android/support/v4/view android/support/v4/widget
8,android/support/v4/media
9,org/metalev/multitouch/controller
10,android/support/v4/graphics/drawable
11,android/support/v4/text
12,com/google/tts
13,android/support/v4/print
14,android/support/v4/net
15,android/support/v4/hardware/display
16,android/support/v4/database
17,android/support/v4/accessibilityservice
18,android/support/v4/os
19,android/support/v4/internal/view
