1,android/support/v4/view android/support/v4/widget
2,android/support/v4/media
3,android/support/v4/app android/support/v4/content android/support/v4/util org/sufficientlysecure/donations
4,com/actionbarsherlock org/adaway
5,org/sufficientlysecure/rootcommands
6,com/commonsware/cwac/wakeful
7,org/sufficientlysecure/htmltextview
8,android/support/v4/text
9,com/android/vending/billing
10,android/support/v4/net
11,android/support/v4/hardware/display
12,android/support/v4/graphics/drawable
13,android/support/v4/database
14,android/support/v4/accessibilityservice
15,android/support/v4/os
16,android/support/v4/internal/view
