1,org/videolan/libvlc org/videolan/vlc
2,android/support/v4/app android/support/v4/content android/support/v4/media android/support/v4/util android/support/v4/view android/support/v4/widget android/support/v7/app android/support/v7/internal/view android/support/v7/internal/widget android/support/v7/view android/support/v7/widget org/videolan/android/ui
3,com/slidingmenu/lib
4,android/support/v4/text
5,kankan/wheel
6,android/support/v4/print
7,android/support/v4/net
8,android/support/v4/hardware/display
9,android/support/v4/graphics/drawable
10,android/support/v4/database
11,android/support/v4/accessibilityservice
12,android/support/annotation
13,android/support/v4/os
14,android/support/v4/internal/view
